Genres,Type,Source,Studios,Rating,Episodes
"action, adventure, sci-fi",tv,original,gonzo,pg-13 - teens 13 or older,26.0
"action, fantasy, girls love",tv,original,sunrise,pg-13 - teens 13 or older,26.0
"comedy, drama, fantasy",tv,original,sunrise,pg-13 - teens 13 or older,26.0
"comedy, drama, fantasy, romance",tv,manga,hal film maker,pg-13 - teens 13 or older,13.0
"drama, romance, supernatural",tv,visual novel,kyoto animation,pg-13 - teens 13 or older,12.0
"comedy, drama, romance",tv,manga,tms entertainment,pg-13 - teens 13 or older,26.0
"adventure, comedy, fantasy, romance",tv,manga,gallop,g - all ages,74.0
"adventure, drama, horror, romance, supernatural, suspense",tv,manga,pierrot,r - 17+ (violence & profanity),24.0
"comedy, romance, slice of life",tv,manga,hal film maker,pg-13 - teens 13 or older,13.0
"drama, romance",tv,manga,toei animation,pg-13 - teens 13 or older,51.0
"adventure, comedy, fantasy, sci-fi",tv,manga,studio deen,pg-13 - teens 13 or older,13.0
"adventure, comedy, fantasy",ova,manga,studio deen,pg-13 - teens 13 or older,3.0
"adventure, comedy, sci-fi",tv,original,gonzo,pg-13 - teens 13 or older,24.0
"action, comedy, drama, gourmet",tv,manga,nippon animation,pg-13 - teens 13 or older,52.0
"adventure, comedy, sci-fi",tv,original,nippon animation,g - all ages,52.0
"action, adventure, comedy, fantasy, sci-fi, ecchi",tv,original,"imagin, studio live",pg-13 - teens 13 or older,8.0
"action, romance, sci-fi",tv,original,xebec,pg-13 - teens 13 or older,26.0
comedy,tv,manga,production i.g,pg-13 - teens 13 or older,26.0
"adventure, comedy, fantasy",tv,original,aic,pg-13 - teens 13 or older,13.0
"adventure, comedy, fantasy, romance",tv,original,aic,pg-13 - teens 13 or older,26.0
"adventure, comedy, fantasy, romance",ova,original,aic,pg-13 - teens 13 or older,7.0
"adventure, comedy, fantasy",ova,original,aic,pg-13 - teens 13 or older,4.0
"comedy, drama, romance",tv,visual novel,"trinet entertainment, zexcs",pg-13 - teens 13 or older,13.0
"drama, romance, supernatural",tv,manga,studio deen,pg-13 - teens 13 or older,26.0
"action, adventure, award winning, drama, fantasy",tv,manga,bones,r - 17+ (violence & profanity),51.0
"comedy, drama, romance, supernatural",tv,manga,studio deen,pg-13 - teens 13 or older,52.0
"adventure, fantasy, romance",tv,manga,pierrot,pg-13 - teens 13 or older,52.0
