Genres,Type,Source,Studios,Rating,Episodes
"comedy, romance",special,light novel,madhouse,pg-13 - teens 13 or older,1.0
"comedy, ecchi",special,unknown,arms,r+ - mild nudity,6.0
"comedy, drama, slice of life",tv,original,tyo animations,g - all ages,12.0
"action, adventure",special,manga,white fox,r - 17+ (violence & profanity),1.0
"adventure, comedy, supernatural",special,original,madhouse,r+ - mild nudity,1.0
slice of life,tv,manga,kachidoki studio,g - all ages,30.0
"action, comedy, fantasy",tv,web manga,"ordet, lidenfilms",pg-13 - teens 13 or older,13.0
fantasy,special,unknown,production i.g,pg-13 - teens 13 or older,6.0
"comedy, slice of life",movie,manga,a-1 pictures,pg-13 - teens 13 or older,1.0
"comedy, slice of life",ova,manga,a-1 pictures,pg-13 - teens 13 or older,2.0
"comedy, slice of life",ova,4-koma manga,gathering,pg-13 - teens 13 or older,1.0
"action, adventure, comedy, mystery",special,manga,tms entertainment,pg-13 - teens 13 or older,1.0
"action, sports",movie,game,olm,g - all ages,1.0
unknown,tv,unknown,unknown,pg-13 - teens 13 or older,8.0
"action, sci-fi",tv,original,satelight,pg-13 - teens 13 or older,13.0
"action, sci-fi",tv,unknown,synergysp,pg - children,38.0
"comedy, sports, ecchi",ova,unknown,project no.9,pg-13 - teens 13 or older,1.0
"comedy, fantasy",tv,light novel,white fox,pg-13 - teens 13 or older,13.0
unknown,special,original,actas,pg-13 - teens 13 or older,6.0
fantasy,movie,manga,ufotable,g - all ages,1.0
drama,special,novel,shin-ei animation,g - all ages,1.0
mystery,ova,manga,toei animation,r - 17+ (violence & profanity),2.0
adventure,special,novel,mushi production,g - all ages,1.0
hentai,ova,visual novel,kantou douga kai,rx - hentai,2.0
hentai,ova,light novel,studio 1st,rx - hentai,2.0
hentai,ova,manga,t-rex,rx - hentai,2.0
hentai,ova,visual novel,studio 1st,rx - hentai,2.0
action,ova,other,madhouse,pg-13 - teens 13 or older,1.0
"action, sci-fi",tv,manga,"doga kobo, orange",pg-13 - teens 13 or older,24.0
comedy,tv,unknown,olm,g - all ages,49.0
hentai,ova,visual novel,anime antenna iinkai,rx - hentai,2.0
comedy,tv,unknown,toei animation,g - all ages,26.0
sports,tv,unknown,unknown,g - all ages,52.0
action,special,light novel,kyoto animation,pg-13 - teens 13 or older,7.0
"comedy, ecchi",special,unknown,silver link.,r+ - mild nudity,6.0
"fantasy, sci-fi",tv,original,hoods entertainment,pg-13 - teens 13 or older,12.0
supernatural,special,manga,unknown,g - all ages,3.0
comedy,special,manga,unknown,g - all ages,3.0
romance,special,manga,production i.g,g - all ages,3.0
comedy,tv,manga,unknown,pg - children,52.0
"action, fantasy",tv,novel,sparkly key animation studio,pg-13 - teens 13 or older,37.0
comedy,tv,4-koma manga,kinema citrus,pg-13 - teens 13 or older,12.0
"adventure, comedy, fantasy",tv,unknown,toei animation,g - all ages,46.0
"adventure, comedy, fantasy",tv,manga,pierrot,g - all ages,33.0
"adventure, comedy, fantasy",movie,unknown,shin-ei animation,pg - children,1.0
"comedy, supernatural",special,manga,lerche,pg-13 - teens 13 or older,1.0
"action, boys love, comedy, fantasy, mystery, supernatural",ova,manga,production i.g,r - 17+ (violence & profanity),1.0
"action, fantasy",ova,game,unknown,g - all ages,1.0
romance,special,visual novel,aic,pg-13 - teens 13 or older,2.0
comedy,tv,original,tatsunoko production,g - all ages,26.0
"action, supernatural",ova,manga,studio deen,r+ - mild nudity,2.0
"action, comedy",ova,manga,pierrot,pg-13 - teens 13 or older,4.0
comedy,ova,unknown,aic,pg-13 - teens 13 or older,1.0
sci-fi,ona,other,unknown,pg-13 - teens 13 or older,10.0
sports,music,original,unknown,g - all ages,1.0
"comedy, slice of life",ona,original,bones,pg-13 - teens 13 or older,10.0
slice of life,special,manga,studio gokumi,pg-13 - teens 13 or older,4.0
sports,special,unknown,unknown,pg - children,1.0
"drama, romance, supernatural",special,light novel,silver link.,pg-13 - teens 13 or older,4.0
"action, supernatural",tv,original,manglobe,r - 17+ (violence & profanity),12.0
fantasy,movie,original,unknown,g - all ages,1.0
"adventure, fantasy, mystery",tv,light novel,madhouse,r - 17+ (violence & profanity),12.0
"action, fantasy, romance",tv,light novel,8bit,pg-13 - teens 13 or older,24.0
"action, adventure, fantasy",ova,original,pierrot,pg-13 - teens 13 or older,5.0
erotica,ova,visual novel,an dercen,r+ - mild nudity,2.0
"adventure, fantasy",tv,other,unknown,pg-13 - teens 13 or older,39.0
"fantasy, sci-fi",ova,manga,manglobe,pg-13 - teens 13 or older,1.0
"action, fantasy, mystery, sci-fi",tv,manga,manglobe,pg-13 - teens 13 or older,13.0
"adventure, sci-fi",special,unknown,nippon animation,pg-13 - teens 13 or older,2.0
"action, fantasy, sci-fi",tv,manga,j.c.staff,r - 17+ (violence & profanity),24.0
"comedy, sports, ecchi",tv,light novel,"barnum studio, project no.9",pg-13 - teens 13 or older,12.0
"supernatural, hentai",ova,visual novel,t-rex,rx - hentai,1.0
"drama, fantasy, romance",tv,original,p.a. works,pg-13 - teens 13 or older,26.0
"horror, supernatural, hentai",ova,visual novel,studio eromatick,rx - hentai,2.0
comedy,special,light novel,i was a ballerina,pg-13 - teens 13 or older,9.0
fantasy,ona,light novel,aic asta,pg-13 - teens 13 or older,1.0
unknown,special,manga,tyo animations,pg-13 - teens 13 or older,1.0
slice of life,tv,manga,studio gokumi,pg-13 - teens 13 or older,13.0
"action, sci-fi",tv,unknown,unknown,pg-13 - teens 13 or older,31.0
"action, adventure, fantasy",special,manga,toei animation,pg-13 - teens 13 or older,1.0
"comedy, romance, sports",movie,original,production i.g,pg-13 - teens 13 or older,1.0
"action, comedy, fantasy, sci-fi",tv,game,david production,pg-13 - teens 13 or older,12.0
"action, comedy, sci-fi",tv,original,unknown,g - all ages,52.0
"adventure, comedy",movie,unknown,unknown,pg - children,1.0
"comedy, slice of life",tv,4-koma manga,seven,pg-13 - teens 13 or older,13.0
comedy,ova,unknown,tms entertainment,pg-13 - teens 13 or older,10.0
hentai,ova,visual novel,rabbit gate,rx - hentai,1.0
hentai,ova,visual novel,ishibashi planning,rx - hentai,1.0
unknown,special,original,actas,pg-13 - teens 13 or older,2.0
"drama, romance",tv,manga,zexcs,r - 17+ (violence & profanity),13.0
fantasy,tv,other,tms entertainment,pg-13 - teens 13 or older,12.0
drama,special,original,unknown,pg-13 - teens 13 or older,1.0
"action, adventure, fantasy",special,manga,toei animation,pg-13 - teens 13 or older,1.0
"comedy, supernatural",tv,manga,production i.g,r - 17+ (violence & profanity),13.0
comedy,special,unknown,unknown,g - all ages,1.0
mystery,ova,novel,deck,pg-13 - teens 13 or older,1.0
"action, adventure, sci-fi",ova,manga,knack productions,pg-13 - teens 13 or older,1.0
"comedy, fantasy",movie,unknown,unknown,pg - children,1.0
adventure,ova,manga,artland,r+ - mild nudity,1.0
unknown,ova,visual novel,unknown,pg-13 - teens 13 or older,2.0
"action, sci-fi",ova,unknown,unknown,r+ - mild nudity,6.0
"action, comedy",ova,original,venet,pg-13 - teens 13 or older,1.0
slice of life,ova,unknown,unknown,g - all ages,1.0
"comedy, romance, slice of life",special,4-koma manga,aic,pg-13 - teens 13 or older,1.0
"comedy, sci-fi",tv,manga,"pierrot, gallop",pg - children,23.0
comedy,tv,manga,hotline,pg-13 - teens 13 or older,12.0
"comedy, romance, slice of life",ova,4-koma manga,silver link.,pg-13 - teens 13 or older,2.0
"action, sci-fi",ona,original,production i.g,pg-13 - teens 13 or older,1.0
"action, sci-fi",special,unknown,"satelight, ixtl",r+ - mild nudity,1.0
"action, adventure, comedy",special,manga,pierrot,pg-13 - teens 13 or older,1.0
comedy,tv,original,kanaban graphics,pg-13 - teens 13 or older,13.0
"comedy, romance",tv,manga,doga kobo,pg-13 - teens 13 or older,13.0
"action, fantasy, romance",tv,manga,studio gokumi,r - 17+ (violence & profanity),13.0
"action, adventure, fantasy, ecchi",ova,other,arms,r+ - mild nudity,4.0
"comedy, slice of life",ova,original,unknown,g - all ages,10.0
"comedy, slice of life",ova,original,unknown,g - all ages,10.0
"comedy, slice of life",ova,unknown,unknown,g - all ages,10.0
fantasy,movie,original,nexus,pg - children,1.0
"action, adventure, fantasy",tv,original,seven arcs pictures,pg-13 - teens 13 or older,12.0
"adventure, comedy, sci-fi",ona,original,mappa,pg - children,4.0
"comedy, mystery",tv,manga,pierrot,g - all ages,50.0
comedy,ova,manga,tatsunoko production,pg-13 - teens 13 or older,1.0
"romance, ecchi",tv,visual novel,madhouse,pg-13 - teens 13 or older,13.0
"action, sci-fi",movie,unknown,unknown,g - all ages,1.0
"comedy, gourmet",tv,original,charaction,pg-13 - teens 13 or older,12.0
comedy,special,unknown,unknown,pg-13 - teens 13 or older,1.0
slice of life,tv,original,kyoto animation,pg-13 - teens 13 or older,12.0
"action, fantasy",tv,original,toei animation,g - all ages,49.0
drama,movie,other,animation staff room,pg-13 - teens 13 or older,1.0
"comedy, ecchi",special,web manga,aic frontier,r - 17+ (violence & profanity),1.0
action,movie,original,toei animation,g - all ages,1.0
"comedy, fantasy",ova,light novel,diomedéa,pg-13 - teens 13 or older,1.0
"comedy, ecchi",tv,unknown,magic bus,r+ - mild nudity,20.0
"drama, slice of life",movie,novel,nippon animation,g - all ages,1.0
drama,special,novel,nippon animation,g - all ages,2.0
"action, adventure, fantasy",special,manga,toei animation,pg-13 - teens 13 or older,2.0
hentai,ova,visual novel,seven,rx - hentai,1.0
hentai,ova,manga,t-rex,rx - hentai,2.0
hentai,ova,original,lilix,rx - hentai,1.0
"adventure, comedy, fantasy",movie,unknown,gallop,g - all ages,1.0
"adventure, comedy, fantasy, slice of life",special,unknown,gallop,g - all ages,1.0
sports,tv,unknown,unknown,g - all ages,23.0
unknown,movie,unknown,unknown,pg - children,1.0
"action, award winning, drama, suspense",tv,manga,wit studio,r - 17+ (violence & profanity),25.0
unknown,movie,unknown,unknown,g - all ages,1.0
"comedy, ecchi",special,manga,aic classic,r+ - mild nudity,5.0
adventure,ova,manga,unknown,r - 17+ (violence & profanity),2.0
"action, supernatural",tv,game,bridge,r - 17+ (violence & profanity),13.0
"comedy, drama, sports",movie,manga,sunrise,pg-13 - teens 13 or older,1.0
"adventure, fantasy",tv,manga,satelight,pg-13 - teens 13 or older,12.0
"action, adventure, sci-fi",tv,original,production i.g,pg-13 - teens 13 or older,13.0
comedy,tv,manga,tsuchida productions,r+ - mild nudity,21.0
"drama, romance, sci-fi",movie,original,wit studio,pg-13 - teens 13 or older,1.0
"comedy, slice of life",tv,unknown,unknown,pg-13 - teens 13 or older,103.0
sports,movie,unknown,unknown,pg-13 - teens 13 or older,1.0
sci-fi,movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"adventure, fantasy",movie,unknown,unknown,g - all ages,1.0
"action, sci-fi",movie,unknown,unknown,pg - children,1.0
"action, sci-fi",movie,unknown,unknown,g - all ages,1.0
"action, sci-fi",movie,unknown,unknown,pg - children,1.0
"action, sci-fi",movie,unknown,unknown,pg - children,1.0
"action, sci-fi",movie,unknown,unknown,pg - children,1.0
"action, sci-fi",movie,unknown,unknown,pg - children,1.0
unknown,movie,unknown,unknown,pg - children,1.0
sports,movie,unknown,unknown,pg - children,1.0
"action, fantasy",special,manga,gallop,pg-13 - teens 13 or older,1.0
"action, fantasy",special,manga,gallop,pg-13 - teens 13 or older,1.0
"adventure, fantasy, romance",special,novel,pierrot,pg-13 - teens 13 or older,1.0
"action, adventure, comedy, fantasy, sci-fi",ova,unknown,sunrise,g - all ages,1.0
"horror, mystery",tv,visual novel,lerche,r - 17+ (violence & profanity),13.0
"horror, supernatural, suspense",ona,original,unknown,r - 17+ (violence & profanity),1.0
"comedy, horror",ona,original,unknown,r - 17+ (violence & profanity),1.0
horror,ona,original,unknown,r - 17+ (violence & profanity),1.0
"comedy, romance",ona,original,unknown,pg-13 - teens 13 or older,1.0
"comedy, horror",ona,original,unknown,r - 17+ (violence & profanity),1.0
"action, sci-fi",ova,unknown,8bit,pg-13 - teens 13 or older,1.0
action,movie,unknown,unknown,pg-13 - teens 13 or older,1.0
comedy,ona,unknown,aic classic,pg-13 - teens 13 or older,6.0
hentai,ova,visual novel,t-rex,rx - hentai,1.0
hentai,ova,manga,studio prokion,rx - hentai,2.0
hentai,ova,manga,studio prokion,rx - hentai,1.0
comedy,special,manga,gainax,g - all ages,8.0
"action, comedy",special,manga,gainax,g - all ages,3.0
sports,tv,manga,shin-ei animation,pg - children,143.0
"action, ecchi",ova,manga,"barnum studio, project no.9",r+ - mild nudity,1.0
"award winning, drama, romance",movie,manga,studio ghibli,pg-13 - teens 13 or older,1.0
"award winning, fantasy",movie,other,studio ghibli,r+ - mild nudity,1.0
"action, sci-fi",tv,original,sunrise,r - 17+ (violence & profanity),12.0
"adventure, comedy, fantasy",movie,game,olm,pg - children,1.0
"action, adventure, comedy, fantasy",movie,game,olm,pg - children,1.0
"drama, slice of life",ona,unknown,unknown,g - all ages,1.0
unknown,ona,original,unknown,g - all ages,12.0
"comedy, horror, romance, supernatural, ecchi",special,manga,studio deen,r+ - mild nudity,1.0
sci-fi,tv,unknown,unknown,pg - children,13.0
"horror, mystery, suspense",ova,visual novel,studio deen,r - 17+ (violence & profanity),1.0
"adventure, fantasy, sci-fi",ova,unknown,shin-ei animation,pg - children,1.0
"comedy, romance, supernatural",tv,manga,manglobe,pg-13 - teens 13 or older,12.0
comedy,ona,unknown,tatsunoko production,pg-13 - teens 13 or older,16.0
"comedy, fantasy",tv,original,unknown,pg - children,12.0
"action, adventure",movie,manga,toei animation,pg-13 - teens 13 or older,1.0
"comedy, slice of life",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"comedy, slice of life",tv,4-koma manga,studio gokumi,pg-13 - teens 13 or older,12.0
"comedy, fantasy, slice of life",special,web manga,sanzigen,g - all ages,1.0
comedy,special,manga,gainax,pg-13 - teens 13 or older,1.0
comedy,tv,web manga,silver link.,pg-13 - teens 13 or older,12.0
"action, supernatural",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, sci-fi",movie,unknown,unknown,pg - children,1.0
"adventure, drama",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, adventure",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, adventure, fantasy",movie,original,unknown,g - all ages,1.0
supernatural,ova,manga,asread.,r - 17+ (violence & profanity),1.0
"action, comedy",ona,original,trigger,r - 17+ (violence & profanity),13.0
drama,movie,unknown,magic bus,pg-13 - teens 13 or older,1.0
adventure,movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, adventure",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"award winning, drama, romance",movie,original,comix wave films,pg-13 - teens 13 or older,1.0
"action, adventure, sci-fi",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, sci-fi",movie,unknown,unknown,pg - children,1.0
"action, adventure",ova,unknown,unknown,r+ - mild nudity,3.0
"action, sci-fi",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, sci-fi",movie,unknown,unknown,g - all ages,1.0
"action, sci-fi",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, adventure",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, adventure",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
action,movie,other,unknown,g - all ages,1.0
action,movie,unknown,unknown,pg-13 - teens 13 or older,1.0
action,movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, adventure",movie,unknown,unknown,pg - children,1.0
"action, adventure, sci-fi",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, adventure, drama",movie,radio,unknown,g - all ages,1.0
"action, adventure",movie,unknown,unknown,g - all ages,1.0
adventure,movie,unknown,unknown,pg - children,1.0
"action, adventure, sci-fi",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
action,movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, sci-fi",movie,original,unknown,pg - children,1.0
sports,movie,unknown,unknown,pg-13 - teens 13 or older,1.0
action,movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, adventure, sci-fi",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, adventure",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"action, adventure",movie,unknown,unknown,pg-13 - teens 13 or older,1.0
adventure,movie,unknown,unknown,pg-13 - teens 13 or older,1.0
"comedy, romance",ova,manga,brain's base,pg-13 - teens 13 or older,1.0
romance,ova,manga,zexcs,pg-13 - teens 13 or older,1.0
"action, adventure, fantasy, romance",movie,manga,pierrot,pg-13 - teens 13 or older,1.0
"comedy, fantasy, mystery",tv,manga,doga kobo,pg-13 - teens 13 or older,12.0
sports,tv,manga,production i.g,pg-13 - teens 13 or older,25.0
"action, fantasy",movie,original,gohands,pg-13 - teens 13 or older,1.0
comedy,tv,original,shogakukan music & digital entertainment,pg-13 - teens 13 or older,114.0
comedy,tv,picture book,kachidoki studio,g - all ages,102.0
"comedy, fantasy, slice of life",tv,manga,tatsunoko production,pg-13 - teens 13 or older,13.0
"comedy, fantasy",special,unknown,unknown,pg - children,1.0
hentai,ova,visual novel,poro,rx - hentai,2.0
sports,special,manga,production i.g,pg-13 - teens 13 or older,1.0
comedy,tv,manga,a-1 pictures,pg-13 - teens 13 or older,11.0
"comedy, fantasy",ova,visual novel,studio deen,pg-13 - teens 13 or older,1.0
"comedy, romance",special,light novel,kyoto animation,pg-13 - teens 13 or older,1.0
comedy,ona,original,charaction,pg-13 - teens 13 or older,1.0
romance,ova,manga,animation 501,r+ - mild nudity,1.0
comedy,special,unknown,olm,g - all ages,1.0
"comedy, ecchi",ova,unknown,unknown,r+ - mild nudity,2.0
"comedy, romance",tv,manga,manglobe,pg-13 - teens 13 or older,12.0
"comedy, fantasy",special,unknown,tms entertainment,pg - children,1.0
"comedy, ecchi",ova,manga,takahashi studio,r+ - mild nudity,2.0
"action, sci-fi",ova,unknown,unknown,pg-13 - teens 13 or older,1.0
"comedy, fantasy",special,unknown,tms entertainment,pg - children,1.0
"comedy, fantasy",special,unknown,tms entertainment,pg - children,1.0
unknown,movie,original,unknown,pg-13 - teens 13 or older,1.0
"drama, hentai",ova,manga,office takeout,rx - hentai,2.0
"drama, romance",special,unknown,kazami gakuen koushiki douga-bu,pg-13 - teens 13 or older,1.0
"action, sci-fi",special,manga,unknown,pg-13 - teens 13 or older,1.0
action,music,original,hotzipang,pg-13 - teens 13 or older,1.0
"comedy, mystery, romance, supernatural",tv,light novel,shaft,r - 17+ (violence & profanity),26.0
"comedy, supernatural",movie,original,unknown,g - all ages,1.0
"action, drama, sci-fi",tv,original,"xebec, i.gzwei",pg-13 - teens 13 or older,13.0
"comedy, slice of life",tv,4-koma manga,lidenfilms,g - all ages,12.0
unknown,tv,unknown,unknown,pg - children,7.0
adventure,tv,unknown,unknown,pg - children,6.0
adventure,tv,unknown,unknown,pg - children,26.0
sports,tv,manga,daewon media,g - all ages,13.0
sports,movie,unknown,unknown,g - all ages,1.0
sports,tv,unknown,unknown,pg - children,26.0
sports,movie,unknown,unknown,pg - children,1.0
slice of life,tv,web manga,unknown,g - all ages,24.0
"adventure, comedy, gourmet",movie,manga,shin-ei animation,g - all ages,1.0
"action, adventure, comedy, fantasy",tv,game,olm,pg - children,14.0
drama,movie,manga,magic bus,pg-13 - teens 13 or older,1.0
"drama, slice of life",movie,original,comix wave films,g - all ages,1.0
comedy,tv,unknown,bouncy,pg-13 - teens 13 or older,12.0
"action, comedy, drama, sci-fi",ova,unknown,j.c.staff,pg-13 - teens 13 or older,1.0
"adventure, drama, fantasy",ova,manga,anpro,pg-13 - teens 13 or older,1.0
action,tv,unknown,unknown,pg-13 - teens 13 or older,5.0
comedy,tv,unknown,fanworks,g - all ages,25.0
unknown,music,original,w+k tokyo,g - all ages,1.0
"comedy, drama, erotica",ova,manga,studio fantasia,r+ - mild nudity,1.0
"comedy, slice of life",special,original,unknown,pg - children,2.0
"comedy, slice of life",special,original,unknown,g - all ages,1.0
"comedy, slice of life",special,original,unknown,g - all ages,3.0
"action, adventure, sci-fi",movie,original,toei animation,g - all ages,1.0
"action, adventure, sci-fi",special,mixed media,tatsunoko production,pg-13 - teens 13 or older,3.0
sci-fi,movie,manga,production i.g,r - 17+ (violence & profanity),1.0
"adventure, fantasy",ova,manga,magic bus,pg-13 - teens 13 or older,3.0
comedy,special,original,sunrise,g - all ages,1.0
unknown,special,original,digital media lab,g - all ages,1.0
comedy,tv,manga,tatsunoko production,pg-13 - teens 13 or older,22.0
comedy,movie,unknown,tms entertainment,pg - children,1.0
comedy,movie,unknown,tms entertainment,pg - children,1.0
drama,movie,unknown,unknown,pg - children,1.0
"comedy, fantasy",movie,unknown,tms entertainment,pg - children,1.0
"adventure, drama",ova,manga,toei animation,pg-13 - teens 13 or older,1.0
"adventure, drama",ova,manga,toei animation,pg-13 - teens 13 or older,1.0
"drama, fantasy",movie,unknown,unknown,g - all ages,1.0
"comedy, slice of life",ona,original,unknown,g - all ages,40.0
supernatural,music,unknown,unknown,g - all ages,1.0
"action, fantasy, ecchi",tv,light novel,lerche,r+ - mild nudity,12.0
sports,tv,game,"tatsunoko production, dongwoo a&e",pg - children,51.0
hentai,ova,visual novel,suzuki mirano,rx - hentai,2.0
sports,special,unknown,production i.g,pg-13 - teens 13 or older,1.0
comedy,movie,picture book,unknown,pg - children,1.0
"action, adventure, fantasy",tv,light novel,satelight,pg-13 - teens 13 or older,25.0
"comedy, mystery",tv,original,"j.c.staff, nomad",pg-13 - teens 13 or older,12.0
"action, drama, sci-fi",movie,manga,"toei animation, marza animation planet",r - 17+ (violence & profanity),1.0
comedy,special,web manga,studio deen,pg-13 - teens 13 or older,4.0
"action, drama, supernatural",ova,unknown,sunrise,pg-13 - teens 13 or older,5.0
"action, comedy, fantasy",tv,unknown,unknown,g - all ages,52.0
"action, sci-fi",music,unknown,"studio 4°c, shirogumi",pg-13 - teens 13 or older,1.0
drama,ona,game,unknown,pg-13 - teens 13 or older,4.0
"drama, sports",ova,unknown,unknown,r+ - mild nudity,1.0
sports,special,unknown,unknown,pg - children,1.0
sports,tv,unknown,shin-ei animation,pg - children,10.0
sports,movie,unknown,shin-ei animation,pg - children,1.0
sports,movie,unknown,shin-ei animation,pg - children,1.0
"fantasy, sci-fi",movie,unknown,magic bus,pg-13 - teens 13 or older,1.0
"action, drama",ova,manga,wako productions,r+ - mild nudity,1.0
"comedy, slice of life",special,manga,8bit,pg-13 - teens 13 or older,1.0
ecchi,special,unknown,artland,pg-13 - teens 13 or older,6.0
"comedy, slice of life",special,manga,doga kobo,pg-13 - teens 13 or older,1.0
unknown,tv,unknown,kachidoki studio,pg-13 - teens 13 or older,5.0
fantasy,movie,original,toei animation,g - all ages,1.0
"comedy, slice of life",ova,original,unknown,g - all ages,10.0
"boys love, hentai",ona,original,studio 9 maiami,rx - hentai,3.0
action,ova,game,pierrot,pg-13 - teens 13 or older,1.0
comedy,movie,original,unknown,g - all ages,1.0
action,tv,manga,pierrot,r - 17+ (violence & profanity),39.0
"action, comedy, fantasy",special,web manga,"ordet, lidenfilms",pg-13 - teens 13 or older,4.0
action,ova,novel,hoods entertainment,pg-13 - teens 13 or older,1.0
"comedy, slice of life, ecchi",ona,4-koma manga,unknown,pg-13 - teens 13 or older,12.0
mystery,special,unknown,tatsunoko production,pg-13 - teens 13 or older,1.0
horror,ova,unknown,unknown,r+ - mild nudity,1.0
romance,special,manga,zexcs,pg-13 - teens 13 or older,10.0
"action, adventure, fantasy",special,unknown,seven arcs,pg-13 - teens 13 or older,13.0
"drama, slice of life",tv,other,toei animation,g - all ages,33.0
drama,ova,unknown,toei animation,g - all ages,1.0
"comedy, drama",movie,game,a-1 pictures,pg-13 - teens 13 or older,1.0
"drama, sports",movie,unknown,unknown,g - all ages,1.0
"drama, sports",movie,unknown,unknown,g - all ages,1.0
"drama, sports",movie,unknown,unknown,g - all ages,1.0
"drama, sports",movie,unknown,unknown,g - all ages,1.0
"drama, sports",movie,unknown,unknown,g - all ages,1.0
"adventure, comedy",tv,unknown,unknown,g - all ages,51.0
"action, drama",tv,unknown,unknown,pg-13 - teens 13 or older,156.0
unknown,movie,card game,tms entertainment,g - all ages,1.0
unknown,ova,unknown,the answer studio,pg - children,30.0
adventure,ova,game,nippon animation,pg - children,1.0
unknown,movie,unknown,unknown,g - all ages,1.0
fantasy,ova,unknown,unknown,g - all ages,1.0
fantasy,ova,book,unknown,g - all ages,1.0
unknown,ova,unknown,unknown,g - all ages,1.0
"comedy, mystery",tv,unknown,studio hibari,g - all ages,39.0
"adventure, comedy",movie,unknown,unknown,g - all ages,1.0
hentai,ova,manga,office takeout,rx - hentai,2.0
drama,movie,novel,unknown,pg-13 - teens 13 or older,1.0
fantasy,tv,original,studio comet,pg - children,52.0
"drama, ecchi",ova,unknown,unknown,r+ - mild nudity,4.0
"action, fantasy, ecchi",tv,manga,seven arcs pictures,pg-13 - teens 13 or older,26.0
unknown,tv,visual novel,zexcs,r - 17+ (violence & profanity),12.0
adventure,tv,unknown,toei animation,g - all ages,86.0
fantasy,special,manga,"satelight, a-1 pictures",pg-13 - teens 13 or older,1.0
hentai,ova,visual novel,suzuki mirano,rx - hentai,2.0
hentai,ova,manga,rabbit gate,rx - hentai,2.0
hentai,ova,visual novel,nihikime no dozeu,rx - hentai,2.0
hentai,ova,visual novel,schoolzone,rx - hentai,1.0
slice of life,tv,manga,silver link.,pg-13 - teens 13 or older,12.0
"comedy, fantasy, supernatural",special,unknown,j.c.staff,pg-13 - teens 13 or older,1.0
"action, sci-fi",ona,unknown,unknown,pg-13 - teens 13 or older,1.0
"comedy, sci-fi, slice of life",movie,original,a-1 pictures,pg-13 - teens 13 or older,1.0
"comedy, sci-fi",tv,unknown,toei animation,pg - children,26.0
unknown,tv,picture book,pierrot,pg - children,263.0
comedy,special,unknown,unknown,pg - children,1.0
comedy,special,unknown,unknown,pg - children,1.0
unknown,tv,unknown,nippon animation,g - all ages,52.0
horror,ova,manga,pierrot,pg-13 - teens 13 or older,2.0
"adventure, drama",tv,unknown,unknown,pg-13 - teens 13 or older,21.0
"action, sci-fi",ova,other,unknown,pg - children,1.0
comedy,tv,unknown,unknown,pg - children,130.0
"adventure, comedy, sci-fi",tv,unknown,"acc production, jcf",pg - children,39.0
romance,special,original,p.a. works,pg-13 - teens 13 or older,6.0
slice of life,ona,manga,"ordet, encourage films",pg-13 - teens 13 or older,10.0
"romance, sci-fi",ova,light novel,aic plus+,pg-13 - teens 13 or older,1.0
"comedy, supernatural",ova,visual novel,j.c.staff,pg-13 - teens 13 or older,1.0
"action, comedy",ova,unknown,j.c.staff,r - 17+ (violence & profanity),2.0
unknown,tv,original,aic,r - 17+ (violence & profanity),13.0
"action, drama, sci-fi",ova,unknown,sunrise,pg-13 - teens 13 or older,2.0
adventure,special,unknown,unknown,g - all ages,1.0
"action, sci-fi, sports",ova,manga,anima,pg-13 - teens 13 or older,1.0
"drama, sports",movie,unknown,studio deen,pg-13 - teens 13 or older,1.0
comedy,tv,unknown,unknown,pg-13 - teens 13 or older,70.0
"comedy, sports",tv,unknown,unknown,pg-13 - teens 13 or older,46.0
sports,tv,unknown,unknown,pg-13 - teens 13 or older,27.0
fantasy,movie,novel,unknown,pg-13 - teens 13 or older,1.0
adventure,movie,unknown,unknown,g - all ages,1.0
"action, drama, sci-fi",movie,original,sunrise,r - 17+ (violence & profanity),1.0
action,movie,original,sunrise,r - 17+ (violence & profanity),1.0
"comedy, fantasy",tv,game,gonzo,pg-13 - teens 13 or older,13.0
"adventure, fantasy",tv,unknown,toei animation,pg-13 - teens 13 or older,19.0
drama,movie,novel,group tac,g - all ages,1.0
unknown,music,manga,unknown,g - all ages,1.0
"comedy, slice of life",ona,original,unknown,g - all ages,6.0
